customer_id,timestamp,session_duration_seconds,device
0002-ORFBO,2024-04-06 01:13:40,1419,mobile
0002-ORFBO,2024-04-06 15:36:24,809,tablet
0002-ORFBO,2024-04-23 16:50:16,417,mobile
0002-ORFBO,2024-05-04 14:42:28,938,desktop
0002-ORFBO,2024-05-08 06:55:38,391,desktop
0002-ORFBO,2024-05-11 15:06:54,292,desktop
0002-ORFBO,2024-05-11 17:52:02,472,mobile
0002-ORFBO,2024-05-13 17:38:59,821,mobile
0002-ORFBO,2024-05-14 09:25:22,330,desktop
0002-ORFBO,2024-05-22 15:43:16,612,tablet
0002-ORFBO,2024-05-22 22:46:20,208,tablet
0002-ORFBO,2024-06-11 20:01:55,463,desktop
0002-ORFBO,2024-06-18 09:06:22,2043,desktop
0002-ORFBO,2024-06-19 22:48:05,777,mobile
0002-ORFBO,2024-06-28 04:42:30,249,tablet
0003-MKNFE,2024-04-05 11:23:29,348,tablet
0003-MKNFE,2024-04-05 18:48:49,366,mobile
0003-MKNFE,2024-04-15 17:07:37,268,mobile
0003-MKNFE,2024-04-21 06:17:08,508,mobile
0003-MKNFE,2024-05-05 21:29:07,401,mobile
0003-MKNFE,2024-05-16 19:05:44,742,mobile
0003-MKNFE,2024-06-11 17:33:42,1048,mobile
0003-MKNFE,2024-06-11 23:03:21,648,desktop
0003-MKNFE,2024-06-17 01:12:23,554,desktop
0003-MKNFE,2024-06-18 05:40:59,991,desktop
0003-MKNFE,2024-06-19 16:19:23,553,mobile
0003-MKNFE,2024-06-23 00:42:43,867,tablet
0003-MKNFE,2024-06-23 16:22:59,1004,tablet
0004-TLHLJ,2024-04-02 05:32:58,294,desktop
0004-TLHLJ,2024-04-02 17:21:45,528,desktop
0004-TLHLJ,2024-04-04 04:06:54,722,mobile
0004-TLHLJ,2024-04-08 06:50:11,1063,tablet
0004-TLHLJ,2024-04-13 15:04:56,660,tablet
0004-TLHLJ,2024-04-21 09:22:47,283,desktop
0004-TLHLJ,2024-04-24 05:43:33,956,mobile
0004-TLHLJ,2024-04-24 14:01:42,781,desktop
