customer_id,timestamp,feature_name,usage_count
0002-ORFBO,2024-04-03 05:30:26,OnlineBackup,7
0002-ORFBO,2024-04-03 21:32:25,TechSupport,9
0002-ORFBO,2024-04-10 23:38:23,OnlineBackup,8
0002-ORFBO,2024-04-16 18:22:51,TechSupport,10
0002-ORFBO,2024-04-21 05:57:39,StreamingTV,7
0002-ORFBO,2024-04-22 07:41:33,TechSupport,3
0002-ORFBO,2024-04-25 07:45:10,StreamingTV,8
0002-ORFBO,2024-04-29 17:47:23,TechSupport,8
0002-ORFBO,2024-04-30 07:21:16,TechSupport,4
0002-ORFBO,2024-05-01 10:40:16,TechSupport,4
0002-ORFBO,2024-05-05 21:47:45,StreamingTV,8
0002-ORFBO,2024-05-09 15:09:02,TechSupport,9
0002-ORFBO,2024-05-20 07:29:54,StreamingTV,9
0002-ORFBO,2024-05-21 20:08:54,OnlineBackup,3
0002-ORFBO,2024-05-22 13:59:31,StreamingTV,5
0002-ORFBO,2024-05-23 14:05:04,StreamingTV,2
0002-ORFBO,2024-05-27 05:32:26,StreamingTV,5
0002-ORFBO,2024-05-27 16:12:13,OnlineBackup,4
0002-ORFBO,2024-05-30 01:01:38,OnlineBackup,8
0002-ORFBO,2024-05-30 06:16:59,StreamingTV,7
0002-ORFBO,2024-05-31 05:32:42,StreamingTV,5
0002-ORFBO,2024-06-08 01:33:48,OnlineBackup,9
0002-ORFBO,2024-06-14 05:33:10,OnlineBackup,5
0002-ORFBO,2024-06-16 00:31:41,StreamingTV,7
0002-ORFBO,2024-06-23 12:13:29,TechSupport,5
0003-MKNFE,2024-04-05 12:26:14,StreamingMovies,4
0003-MKNFE,2024-04-09 07:25:25,StreamingMovies,5
0003-MKNFE,2024-04-13 11:15:41,StreamingMovies,11
0003-MKNFE,2024-04-16 04:48:58,StreamingMovies,8
0003-MKNFE,2024-05-08 16:08:08,StreamingMovies,7
0003-MKNFE,2024-05-25 06:12:29,StreamingMovies,6
0003-MKNFE,2024-06-09 17:36:03,StreamingMovies,8
0003-MKNFE,2024-06-20 19:29:12,StreamingMovies,3
0003-MKNFE,2024-06-30 23:07:46,StreamingMovies,6
0004-TLHLJ,2024-04-16 05:44:32,DeviceProtection,3
0004-TLHLJ,2024-04-30 16:20:18,DeviceProtection,3
0004-TLHLJ,2024-05-11 09:24:48,DeviceProtection,2
0004-TLHLJ,2024-05-29 09:36:43,DeviceProtection,3
0011-IGKFF,2024-04-03 18:48:17,OnlineBackup,1
0011-IGKFF,2024-04-06 16:16:18,DeviceProtection,6
0011-IGKFF,2024-04-10 23:28:33,OnlineBackup,3
0011-IGKFF,2024-04-12 21:47:43,StreamingMovies,4
0011-IGKFF,2024-04-15 17:25:09,OnlineBackup,4
0011-IGKFF,2024-04-18 04:39:41,OnlineBackup,3
0011-IGKFF,2024-04-19 05:45:59,OnlineBackup,4
0011-IGKFF,2024-04-23 06:30:40,StreamingMovies,3
0011-IGKFF,2024-04-29 11:35:22,StreamingMovies,2
0011-IGKFF,2024-04-30 21:18:28,DeviceProtection,4
0011-IGKFF,2024-05-01 10:26:05,StreamingMovies,5
0011-IGKFF,2024-05-04 11:54:20,StreamingTV,3
0011-IGKFF,2024-05-15 10:16:32,OnlineBackup,2
0011-IGKFF,2024-05-30 11:12:33,OnlineBackup,3
0011-IGKFF,2024-06-12 17:07:54,StreamingTV,3
0011-IGKFF,2024-06-15 02:45:13,StreamingMovies,4
0013-EXCHZ,2024-04-06 15:07:26,TechSupport,3
0013-EXCHZ,2024-04-11 14:28:32,StreamingTV,4
0013-EXCHZ,2024-04-13 22:15:48,StreamingTV,2
0013-EXCHZ,2024-04-14 20:57:03,StreamingTV,6
0013-EXCHZ,2024-04-29 07:07:08,TechSupport,4
0013-EXCHZ,2024-05-01 17:40:40,TechSupport,3
0013-EXCHZ,2024-05-05 02:02:23,StreamingTV,3
0013-EXCHZ,2024-05-19 02:10:57,TechSupport,3
0013-EXCHZ,2024-05-28 20:20:04,TechSupport,1
0013-EXCHZ,2024-05-30 12:42:26,StreamingTV,3
0013-EXCHZ,2024-06-22 18:29:26,TechSupport,3
0013-MHZWF,2024-04-11 06:29:48,StreamingMovies,8
0013-MHZWF,2024-04-14 23:55:03,StreamingMovies,8
0013-MHZWF,2024-04-15 00:03:46,StreamingMovies,6
0013-MHZWF,2024-04-25 03:18:54,StreamingTV,4
0013-MHZWF,2024-05-01 17:28:46,StreamingTV,9
0013-MHZWF,2024-05-04 13:30:49,StreamingTV,5
0013-MHZWF,2024-05-05 20:59:35,TechSupport,4
0013-MHZWF,2024-05-15 20:48:22,StreamingTV,3
0013-MHZWF,2024-05-25 12:38:43,StreamingTV,6
0013-MHZWF,2024-05-29 15:56:05,TechSupport,6
0013-MHZWF,2024-06-03 07:28:00,StreamingTV,7
0013-MHZWF,2024-06-08 07:33:28,StreamingMovies,5
0013-MHZWF,2024-06-09 18:18:07,StreamingTV,6
0013-MHZWF,2024-06-11 22:11:26,StreamingMovies,4
0013-MHZWF,2024-06-16 20:36:22,TechSupport,7
0013-MHZWF,2024-06-17 22:41:44,TechSupport,6
0013-MHZWF,2024-06-19 21:47:53,TechSupport,4
0013-MHZWF,2024-06-19 23:00:51,TechSupport,8
0013-MHZWF,2024-06-30 16:30:17,StreamingMovies,7
0013-SMEOE,2024-04-03 02:28:01,OnlineSecurity,8
0013-SMEOE,2024-04-03 14:31:24,TechSupport,6
0013-SMEOE,2024-04-04 01:27:21,OnlineSecurity,5
0013-SMEOE,2024-04-04 05:24:30,TechSupport,6
0013-SMEOE,2024-04-05 23:40:07,OnlineBackup,6
0013-SMEOE,2024-04-06 22:35:18,StreamingTV,7
0013-SMEOE,2024-04-07 20:34:19,StreamingMovies,5
0013-SMEOE,2024-04-10 12:12:19,StreamingTV,7
0013-SMEOE,2024-04-14 16:57:13,DeviceProtection,5
0013-SMEOE,2024-04-14 21:46:06,OnlineSecurity,7
0013-SMEOE,2024-04-17 11:33:04,DeviceProtection,4
0013-SMEOE,2024-04-20 15:40:45,StreamingTV,3
0013-SMEOE,2024-04-21 01:27:13,OnlineSecurity,7
0013-SMEOE,2024-04-23 02:38:14,StreamingMovies,2
0013-SMEOE,2024-04-25 10:23:50,TechSupport,7
0013-SMEOE,2024-04-27 19:43:01,DeviceProtection,7
0013-SMEOE,2024-04-27 19:56:45,TechSupport,6
0013-SMEOE,2024-04-28 10:15:20,StreamingMovies,9
0013-SMEOE,2024-05-01 23:18:39,TechSupport,6
0013-SMEOE,2024-05-02 14:30:44,StreamingMovies,8
0013-SMEOE,2024-05-05 12:40:51,OnlineBackup,9
