customer_id,tenure,monthly_charges,contract,payment_method,internet_service,senior_citizen,partner,dependents,num_addons_active,total_logins_90d,recent_30d_vs_older_60d_ratio,avg_session_duration_recent_30d,num_tickets,pct_unresolved,avg_resolution_time_hours,avg_usage_count
7590-VHVEG,1,29.85,Month-to-month,Electronic check,DSL,0,Yes,No,1,11,0.2222222222222222,422.5,2,0.0,22.46,8.714285714285714
5575-GNVDE,34,56.95,One year,Mailed check,DSL,0,No,No,2,23,0.4375,413.2857142857143,5,0.2,6.42,12.222222222222221
3668-QPYBK,2,53.85,Month-to-month,Mailed check,DSL,0,No,No,2,13,0.3,231.66666666666666,1,0.0,48.04,1.9166666666666667
7795-CFOCW,45,42.3,One year,Bank transfer (automatic),DSL,0,No,No,3,16,0.7777777777777778,437.0,1,0.0,7.59,6.888888888888889
9237-HQITU,2,70.7,Month-to-month,Electronic check,Fiber optic,0,No,No,0,20,0.3333333333333333,524.2,1,1.0,0.0,0.0
9305-CDSKC,8,99.65,Month-to-month,Electronic check,Fiber optic,0,No,No,3,20,0.17647058823529413,365.3333333333333,3,0.3333333333333333,31.904999999999998,5.133333333333334
1452-KIOVK,22,89.1,Month-to-month,Credit card (automatic),Fiber optic,0,No,Yes,2,29,0.7058823529411765,556.0,2,0.0,15.655,5.583333333333333
6713-OKOMC,10,29.75,Month-to-month,Mailed check,DSL,0,No,No,1,10,0.1111111111111111,970.0,1,0.0,8.67,14.0
7892-POOKP,28,104.8,Month-to-month,Electronic check,Fiber optic,0,Yes,No,4,17,0.5454545454545454,330.3333333333333,2,0.5,34.67,6.083333333333333
6388-TABGU,62,56.15,One year,Bank transfer (automatic),DSL,0,No,Yes,2,21,0.3125,532.2,4,0.25,17.033333333333335,3.357142857142857
9763-GRSKD,13,49.95,Month-to-month,Mailed check,DSL,0,Yes,Yes,1,25,0.7857142857142857,533.0909090909091,2,0.0,16.9,9.461538461538462
7469-LKBCI,16,18.95,Two year,Credit card (automatic),No,0,No,No,0,11,0.5714285714285714,472.5,1,0.0,12.66,0.0
8091-TTVAX,58,100.35,One year,Credit card (automatic),Fiber optic,0,Yes,No,3,11,0.8333333333333334,680.0,0,0.0,0.0,2.7
0280-XJGEX,49,103.7,Month-to-month,Bank transfer (automatic),Fiber optic,0,No,No,4,17,0.21428571428571427,409.0,2,0.0,10.405,6.277777777777778
5129-JLPIS,25,105.5,Month-to-month,Electronic check,Fiber optic,0,No,No,5,26,1.0,637.1538461538462,3,0.0,2.4633333333333334,9.695652173913043
3655-SNQYZ,69,113.25,Two year,Credit card (automatic),Fiber optic,0,Yes,Yes,6,13,0.3,626.6666666666666,1,0.0,13.89,4.909090909090909
8191-XWSZG,52,20.65,One year,Mailed check,No,0,No,No,0,25,0.3157894736842105,487.5,2,0.0,3.885,0.0
9959-WOFKT,71,106.7,Two year,Bank transfer (automatic),Fiber optic,0,No,Yes,4,18,1.0,658.4444444444445,3,0.0,6.223333333333334,3.918918918918919
4190-MFLUW,10,55.2,Month-to-month,Credit card (automatic),DSL,0,Yes,Yes,2,13,0.4444444444444444,313.25,1,1.0,0.0,3.5
4183-MYFRB,21,90.05,Month-to-month,Electronic check,Fiber optic,0,No,No,3,11,0.375,627.3333333333334,3,0.3333333333333333,46.925,6.545454545454546
8779-QRDMV,1,39.65,Month-to-month,Electronic check,DSL,1,No,No,2,21,0.5,717.2857142857143,2,0.5,3.79,4.142857142857143
1680-VDCWW,12,19.8,One year,Bank transfer (automatic),No,0,Yes,No,0,14,0.75,526.6666666666666,1,0.0,23.54,0.0
1066-JKSGK,1,20.15,Month-to-month,Mailed check,No,0,No,No,0,16,0.6,646.5,3,0.0,19.94333333333333,0.0
3638-WEABW,58,59.9,Two year,Credit card (automatic),DSL,0,Yes,No,2,28,0.47368421052631576,419.77777777777777,1,0.0,12.7,6.5
6322-HRPFA,49,59.6,Month-to-month,Credit card (automatic),DSL,0,Yes,Yes,3,27,0.5882352941176471,611.9,1,0.0,9.44,7.583333333333333
6865-JZNKO,30,55.3,Month-to-month,Bank transfer (automatic),DSL,0,No,No,2,15,0.25,341.3333333333333,4,0.0,5.88,5.0
6467-CHFZW,47,99.35,Month-to-month,Electronic check,Fiber optic,0,Yes,Yes,3,23,0.5333333333333333,461.625,3,0.0,29.143333333333334,3.4
8665-UTDHZ,1,30.2,Month-to-month,Electronic check,DSL,0,Yes,Yes,1,24,0.4117647058823529,385.57142857142856,4,1.0,0.0,3.875
5248-YGIJN,72,90.25,Two year,Credit card (automatic),DSL,0,Yes,No,6,29,0.5263157894736842,551.2,1,0.0,0.86,9.0
8773-HHUOZ,17,64.7,Month-to-month,Mailed check,DSL,0,No,Yes,2,10,0.6666666666666666,370.75,4,0.5,13.04,5.5
3841-NFECX,71,96.35,Two year,Credit card (automatic),Fiber optic,1,Yes,No,4,30,0.7647058823529411,550.7692307692307,1,0.0,8.91,4.2
4929-XIHVW,2,95.5,Month-to-month,Credit card (automatic),Fiber optic,1,Yes,No,3,22,0.5714285714285714,658.625,1,1.0,0.0,9.826086956521738
6827-IEAUQ,27,66.15,One year,Mailed check,DSL,0,Yes,Yes,4,30,0.42857142857142855,587.3333333333334,0,0.0,0.0,5.257142857142857
7310-EGVHZ,1,20.2,Month-to-month,Bank transfer (automatic),No,0,No,No,0,12,0.7142857142857143,607.6,2,0.0,6.925,0.0
3413-BMNZE,1,45.25,Month-to-month,Bank transfer (automatic),DSL,1,No,No,0,10,1.0,420.2,3,0.0,8.883333333333333,0.0
6234-RAAPL,72,99.9,Two year,Bank transfer (automatic),Fiber optic,0,Yes,Yes,4,27,0.42105263157894735,496.125,1,0.0,6.78,9.02127659574468
6047-YHPVI,5,69.7,Month-to-month,Electronic check,Fiber optic,0,No,No,0,10,0.25,336.5,2,0.5,31.68,0.0
6572-ADKRS,46,74.8,Month-to-month,Credit card (automatic),Fiber optic,0,No,No,1,20,0.42857142857142855,575.5,1,1.0,0.0,10.25
5380-WJKOV,34,106.35,Month-to-month,Electronic check,Fiber optic,0,No,No,4,21,0.10526315789473684,505.0,3,0.0,28.406666666666666,4.933333333333334
8168-UQWWF,11,97.85,Month-to-month,Bank transfer (automatic),Fiber optic,0,No,No,3,15,0.6666666666666666,422.8333333333333,1,0.0,6.84,6.9411764705882355
8865-TNMNX,10,49.55,One year,Mailed check,DSL,0,Yes,Yes,1,26,0.8571428571428571,560.6666666666666,2,0.5,0.65,7.2
9489-DEDVP,70,69.2,Two year,Credit card (automatic),DSL,0,Yes,Yes,3,23,0.2777777777777778,356.4,3,0.3333333333333333,29.105,6.6923076923076925
9867-JCZSP,17,20.75,One year,Mailed check,No,0,Yes,Yes,0,24,0.6,503.44444444444446,1,0.0,1.72,0.0
4671-VJLCL,63,79.85,Two year,Credit card (automatic),DSL,0,No,No,5,12,0.3333333333333333,722.0,1,1.0,0.0,5.823529411764706
4080-IIARD,13,76.2,Month-to-month,Electronic check,DSL,0,Yes,No,4,23,0.9166666666666666,532.1818181818181,2,0.5,5.7,7.071428571428571
